,game_id,home_team,away_team
5951,5951,Minnesota,Wisconsin
5952,5952,Auburn,Alabama
5953,5953,Kansas State,Iowa State
5954,5954,NC State,North Carolina
5955,5955,Fresno State,Boise State
5956,5956,Maryland,Penn State
5957,5957,Oklahoma,West Virginia
5958,5958,Tennessee,Vanderbilt
5959,5959,Illinois,Northwestern
5960,5960,New Mexico State,Idaho
5961,5961,Tulsa,Temple
5962,5962,Rutgers,Michigan State
5963,5963,Arizona State,Arizona
5964,5964,San José State,Wyoming
5965,5965,Louisiana,Georgia Southern
5966,5966,Oregon,Oregon State
5967,5967,LSU,Texas A&M
5968,5968,Louisiana Tech,UT San Antonio
5969,5969,South Carolina,Clemson
5970,5970,Washington,Washington State
5971,5971,Stanford,Notre Dame
5972,5972,Hawai'i,BYU
5973,5973,Utah,Colorado
5974,5974,Air Force,Utah State
5975,5975,USC,Stanford
5976,5976,UCF,Memphis
5977,5977,Toledo,Akron
5978,5978,Florida Atlantic,North Texas
5979,5979,Florida International,UMass
5980,5980,Florida State,Louisiana Monroe
5981,5981,Oklahoma,TCU
5982,5982,Coastal Carolina,Georgia Southern
5983,5983,Georgia State,Idaho
5984,5984,Appalachian State,Louisiana
5985,5985,Auburn,Georgia
5986,5986,New Mexico State,South Alabama
5987,5987,Arkansas State,Troy
5988,5988,Boise State,Fresno State
5989,5989,Wisconsin,Ohio State
5990,5990,Clemson,Miami
5991,5991,Navy,Army
5992,5992,UMass,Duquesne
5993,5993,Rice,Prairie View
5994,5994,Colorado State,Hawai'i
5995,5995,New Mexico State,Wyoming
5996,5996,Connecticut,UCF
5997,5997,Minnesota,New Mexico State
5998,5998,Georgia State,Kennesaw State
5999,5999,Ball State,Central Connecticut
6000,6000,UAB,Savannah State
6001,6001,Louisiana Monroe,Southeastern Louisiana
6002,6002,Tulane,Wake Forest
6003,6003,Utah,Weber State
6004,6004,Purdue,Northwestern
6005,6005,Oklahoma State,Missouri State
6006,6006,Texas A&M,Northwestern State
6007,6007,San José State,UC Davis
6008,6008,Western Michigan,Syracuse
6009,6009,Eastern Michigan,Monmouth
6010,6010,Michigan State,Utah State
6011,6011,Duke,Army
6012,6012,Wisconsin,Western Kentucky
6013,6013,Nevada,Portland State
6014,6014,Stanford,San Diego State
6015,6015,Colorado State,Colorado
6016,6016,TCU,Southern
6017,6017,Illinois,Kent State
6018,6018,Rice,Houston
6019,6019,Texas Tech,Ole Miss
6020,6020,Maryland,Texas
6021,6021,South Carolina,Coastal Carolina
6022,6022,Temple,Villanova
6023,6023,NC State,James Madison
6024,6024,Rutgers,Texas State
6025,6025,Oklahoma,Florida Atlantic
6026,6026,Ohio State,Oregon State
6027,6027,Clemson,Furman
6028,6028,Georgia Tech,Alcorn State
6029,6029,Boston College,UMass
6030,6030,Ohio,Howard
6031,6031,Air Force,Stony Brook
6032,6032,Auburn,Washington
6033,6033,Tennessee,West Virginia
6034,6034,Kentucky,Central Michigan
6035,6035,Georgia,Austin Peay
6036,6036,Pittsburgh,Albany
6037,6037,Wyoming,Washington State
6038,6038,Penn State,Appalachian State
6039,6039,Iowa,Northern Illinois
6040,6040,Missouri,UT Martin
6041,6041,USC,UNLV
6042,6042,Arkansas,Eastern Illinois
6043,6043,California,North Carolina
6044,6044,Virginia,Richmond
6045,6045,Liberty,Old Dominion
6046,6046,Georgia Southern,South Carolina State
6047,6047,South Florida,Elon
6048,6048,Buffalo,Delaware State
6049,6049,Troy,Boise State
6050,6050,Miami (OH),Marshall
6051,6051,Charlotte,Fordham
6052,6052,Kansas State,South Dakota
6053,6053,Memphis,Mercer
6054,6054,Louisiana,Grambling
6055,6055,South Alabama,Louisiana Tech
6056,6056,Florida International,Indiana
6057,6057,UCLA,Cincinnati
6058,6058,Tulsa,Central Arkansas
6059,6059,Arkansas State,Southeast Missouri State
